State,Population
Alabama,22626.0
Alaska,3283.0
Arizona,3639.0
Arkansas,7424.0
California,433.0
Connecticut,124795.0
Delaware,250.0
Florida,12024.0
Georgia,14026.0
Idaho,1329.0
Illinois,2758.0
Indiana,52354.0
Iowa,10705.0
Kansas,387147.0
Kentucky,1196.0
Louisiana,49529.0
Maine,1574.0
Maryland,622454.0
Michigan,10014.0
Minnesota,847.0
Mississippi,7572.0
Missouri,267.0
Montana,1858.0
Nebraska,6830.0
New Hampshire,761.0
New Jersey,85.0
New Mexico,725.0
New York,28495.0
North Carolina,21721.0
North Dakota,3728.0
Ohio,282275.0
Oklahoma,24955.0
Oregon,1402.0
Pennsylvania,10693.0
Rhode Island,19378.0
South Carolina,2244.0
South Dakota,954.0
Tennessee,9036.0
Texas,11616.0
Utah,60.0
Vermont,6864.0
Virginia,32123.0
Washington,9477.0
West Virginia,17375.0
Wisconsin,599498.0
Wyoming,2836.0
