State,% Unemployment
Alabama,8.37
Alaska,9.88
Arizona,5.0
Arkansas,13.23
California,5.52
Connecticut,12.05
Delaware,0.42
Florida,15.3
Georgia,10.02
Idaho,6.5
Illinois,10.67
Indiana,6.87
Iowa,6.32
Kansas,4.99
Kentucky,7.66
Louisiana,7.51
Maine,6.31
Maryland,8.08
Michigan,13.47
Minnesota,9.38
Mississippi,4.7
Missouri,14.54
Montana,7.05
Nebraska,0.72
New Hampshire,9.29
New Jersey,2.74
New York,7.27
North Carolina,4.94
North Dakota,1.07
Ohio,8.47
Oklahoma,4.2
Oregon,10.54
Pennsylvania,8.48
Rhode Island,8.1
South Carolina,5.55
South Dakota,4.66
Tennessee,8.68
Texas,9.72
Utah,13.04
Vermont,4.65
Virginia,7.36
Washington,6.09
West Virginia,4.42
Wisconsin,7.67
Wyoming,7.26
