State,% None,% High School,% Associates,% Bachelors,% Graduate
Alabama,20.16,30.94,27.67,11.69,9.54
Alaska,17.15,34.35,30.72,11.75,6.04
Arizona,15.25,40.47,36.3,3.59,4.39
Arkansas,23.26,35.6,31.11,6.82,3.21
California,9.32,14.83,43.22,30.93,1.69
Connecticut,29.41,30.72,24.18,9.03,6.66
Delaware,8.37,9.69,23.79,36.12,22.03
Florida,45.42,31.7,18.18,3.54,1.17
Georgia,21.38,30.38,27.97,12.06,8.21
Idaho,15.06,36.32,38.25,6.94,3.42
Illinois,20.39,27.68,41.46,8.74,1.74
Indiana,22.4,38.41,25.87,9.16,4.16
Iowa,10.57,41.18,31.3,11.87,5.08
Kansas,12.46,26.82,32.38,18.77,9.56
Kentucky,16.37,33.43,29.96,13.04,7.21
Louisiana,18.02,28.37,24.99,17.37,11.25
Maine,12.12,45.42,33.8,8.33,0.33
Maryland,17.46,29.79,24.06,15.26,13.43
Michigan,29.47,37.88,27.56,2.84,2.25
Minnesota,29.84,41.13,23.39,3.87,1.77
Mississippi,25.36,38.37,24.02,7.83,4.42
Missouri,26.29,50.86,20.57,1.14,1.14
Montana,11.29,29.54,39.64,13.92,5.6
Nebraska,6.36,27.84,39.88,19.42,6.5
New Hampshire,12.64,43.02,30.05,9.52,4.76
New Jersey,17.14,55.71,17.14,10.0,0.0
New Mexico,18.6,50.47,18.6,7.67,4.65
New York,29.92,35.03,23.39,6.97,4.69
North Carolina,25.87,28.35,27.56,11.59,6.64
North Dakota,8.18,29.24,38.78,19.65,4.15
Ohio,14.75,34.01,33.81,11.16,6.27
Oklahoma,15.9,34.37,29.36,13.08,7.29
Oregon,11.17,34.84,36.68,11.27,6.05
Pennsylvania,14.19,46.17,30.28,6.14,3.22
Rhode Island,44.46,29.46,17.22,6.42,2.44
South Carolina,24.85,41.37,23.6,7.96,2.21
South Dakota,13.23,25.23,38.0,18.0,5.54
Tennessee,21.23,41.52,24.94,7.69,4.62
Texas,34.35,31.43,26.52,4.0,3.7
Utah,14.71,14.71,26.47,14.71,29.41
Vermont,7.1,33.87,31.76,20.37,6.9
Virginia,22.1,33.98,28.01,9.16,6.74
Washington,11.16,31.56,35.78,14.78,6.72
West Virginia,13.86,32.09,29.29,16.48,8.3
Wisconsin,17.86,29.62,29.23,15.36,7.92
Wyoming,13.53,38.62,38.36,7.11,2.39
