State,% Never Married,% Married,% Divorced,% Separated,% Widowed
Alabama,32.45,37.47,13.77,5.07,11.25
Alaska,45.13,43.11,7.38,1.24,3.14
Arizona,27.87,47.23,15.97,1.26,7.67
Arkansas,31.8,40.49,15.33,5.84,6.55
California,36.61,57.29,2.71,2.03,1.36
Connecticut,56.24,24.44,10.88,3.92,4.51
Delaware,18.14,54.01,12.24,0.42,15.19
Florida,56.34,25.41,7.94,5.2,5.1
Georgia,55.01,23.02,12.2,3.53,6.23
Idaho,20.21,49.95,21.81,1.32,6.7
Illinois,39.55,25.87,13.54,9.13,11.91
Indiana,35.83,39.36,15.64,2.34,6.83
Iowa,31.0,44.63,16.38,1.25,6.74
Kansas,32.52,46.98,13.05,1.96,5.5
Kentucky,47.66,28.45,14.85,4.36,4.67
Louisiana,47.91,28.91,11.98,3.83,7.38
Maine,34.04,32.9,18.84,2.2,12.01
Maryland,51.95,26.6,11.01,3.83,6.61
Michigan,55.87,20.19,14.15,3.55,6.24
Minnesota,43.56,24.6,19.54,4.49,7.81
Mississippi,55.32,21.4,9.74,5.28,8.26
Missouri,60.68,15.38,13.25,7.69,2.99
Montana,31.82,41.05,18.39,2.24,6.5
Nebraska,21.55,52.01,15.68,2.12,8.64
New Hampshire,31.86,39.57,15.86,2.29,10.43
New Jersey,13.7,46.58,23.29,2.74,13.7
New York,49.68,32.95,7.32,4.71,5.35
North Carolina,39.9,35.8,11.26,4.29,8.75
North Dakota,26.16,58.65,7.99,1.04,6.16
Ohio,41.72,34.38,14.86,2.38,6.66
Oklahoma,29.43,42.81,16.58,1.45,9.73
Oregon,20.75,57.69,13.33,1.7,6.53
Pennsylvania,49.6,23.87,9.49,8.49,8.54
Rhode Island,46.64,32.93,10.55,4.92,4.95
South Carolina,41.5,36.07,4.74,3.41,14.28
South Dakota,28.96,46.13,13.11,1.7,10.09
Tennessee,40.93,28.18,14.59,4.95,11.34
Texas,35.46,41.09,10.19,3.77,9.5
Utah,33.33,35.29,13.73,0.0,17.65
Vermont,33.5,41.75,17.34,1.12,6.29
Virginia,47.02,29.45,11.17,4.51,7.84
Washington,35.53,43.78,14.83,2.38,3.47
West Virginia,31.21,40.68,14.87,2.13,11.11
Wisconsin,51.67,30.41,10.75,2.38,4.78
Wyoming,26.75,48.19,18.91,1.41,4.74
