State,% Nursery-Pre-School,% Kindergarten,% 1st-4th,% 5th-8th,% 9th-12th
Alabama,13.74,12.21,24.98,24.44,24.63
Alaska,4.26,9.07,32.69,26.92,27.06
Arizona,2.88,8.64,17.27,30.61,40.61
Arkansas,6.5,7.05,18.37,38.05,30.03
California,0.0,0.0,73.64,5.43,20.93
Connecticut,9.21,7.63,27.65,25.05,30.47
Delaware,0.0,13.33,13.33,53.33,20.0
Florida,10.45,6.72,26.55,29.09,27.19
Georgia,13.34,6.85,29.31,28.99,21.51
Idaho,8.13,8.13,31.71,30.08,21.95
Illinois,15.53,3.14,30.02,29.32,21.99
Indiana,6.78,7.66,34.72,27.14,23.71
Iowa,8.49,11.14,36.86,20.76,22.76
Kansas,8.72,7.91,28.44,27.29,27.63
Kentucky,11.33,20.69,19.7,25.62,22.66
Louisiana,10.15,6.42,25.89,32.08,25.46
Maine,30.0,0.0,30.0,13.33,26.67
Maryland,10.88,8.32,27.35,26.37,27.09
Michigan,16.07,10.18,27.06,24.12,22.57
Minnesota,1.55,7.75,25.58,43.41,21.71
Mississippi,8.68,16.16,24.93,30.14,20.09
Missouri,14.29,0.0,33.33,2.38,50.0
Montana,7.27,3.76,30.83,30.58,27.57
Nebraska,8.71,15.27,27.47,24.9,23.65
New Hampshire,0.0,0.0,60.66,22.95,16.39
New Jersey,0.0,0.0,75.0,25.0,0.0
New York,7.01,9.4,28.86,30.68,24.06
North Carolina,8.08,7.79,28.94,23.26,31.94
North Dakota,13.28,5.17,22.68,29.61,29.26
Ohio,8.52,8.34,30.08,25.27,27.79
Oklahoma,12.34,5.79,29.27,25.22,27.38
Oregon,8.54,9.45,21.65,27.74,32.62
Pennsylvania,5.82,4.07,33.29,29.01,27.81
Rhode Island,9.31,9.73,23.56,31.0,26.41
South Carolina,7.87,9.36,8.72,26.81,47.23
South Dakota,12.14,11.56,35.84,17.34,23.12
Tennessee,20.0,2.39,26.71,20.99,29.91
Texas,12.52,8.21,33.11,23.89,22.26
Utah,0.0,0.0,0.0,31.25,68.75
Vermont,12.03,4.35,30.12,29.01,24.49
Virginia,6.13,8.69,31.8,21.35,32.04
Washington,5.16,8.37,29.17,25.44,31.86
West Virginia,8.65,7.13,28.0,27.09,29.15
Wisconsin,4.07,13.12,27.81,26.7,28.29
Wyoming,12.62,5.11,36.9,24.6,20.77
