State,% None,% High School,% Associates,% Bachelors,% Graduate
Alabama,12.48,32.48,36.51,7.93,10.6
Alaska,9.85,35.59,34.71,14.41,5.45
Arizona,15.68,28.0,40.17,12.37,3.79
Arkansas,10.56,31.94,39.99,12.7,4.82
California,2.43,5.53,13.44,35.72,42.88
Colorado,4.33,21.85,36.69,28.78,8.35
Delaware,2.98,37.41,21.84,24.22,13.54
Florida,3.13,13.27,23.94,36.48,23.17
Georgia,34.94,36.79,20.0,6.48,1.79
Idaho,22.53,39.29,28.63,6.29,3.26
Illinois,2.51,11.62,21.55,36.8,27.51
Indiana,7.07,32.19,31.47,19.55,9.72
Iowa,9.25,28.54,28.73,23.66,9.82
Kansas,0.35,7.56,19.33,41.9,30.86
Kentucky,5.22,19.4,29.33,27.95,18.1
Louisiana,20.48,43.3,22.07,11.19,2.96
Maine,7.21,39.21,21.46,21.1,11.03
Maryland,8.26,33.05,33.51,14.7,10.48
Michigan,0.82,8.39,20.48,36.36,33.95
Minnesota,3.7,16.86,24.57,34.19,20.68
Mississippi,14.44,29.38,32.75,13.7,9.73
Missouri,5.41,29.99,28.02,24.54,12.05
Montana,2.09,27.62,41.26,22.01,7.02
Nebraska,12.59,33.6,40.78,9.66,3.37
Nevada,27.07,31.93,32.39,5.55,3.05
New Mexico,17.99,37.08,31.7,11.58,1.65
New York,3.01,9.5,13.51,36.34,37.64
North Carolina,17.27,26.99,30.65,13.58,11.5
North Dakota,9.05,29.14,40.41,16.56,4.83
Oklahoma,12.79,43.89,29.08,10.45,3.79
Oregon,10.6,20.36,45.65,14.4,8.98
South Carolina,1.9,12.42,25.36,42.72,17.6
South Dakota,3.77,22.4,36.53,30.43,6.86
Tennessee,8.13,23.4,28.74,20.15,19.58
Texas,0.43,3.53,12.52,45.89,37.63
Utah,9.89,27.11,39.07,17.5,6.43
Vermont,8.76,41.01,5.53,35.25,9.45
Virginia,8.91,33.59,20.97,21.17,15.37
Washington,12.03,21.93,35.54,18.92,11.57
West Virginia,16.16,28.73,26.41,18.69,10.01
Wisconsin,4.38,24.0,36.6,21.51,13.52
Wyoming,14.38,30.37,36.88,12.68,5.7
