State,% Nursery-Pre-School,% Kindergarten,% 1st-4th,% 5th-8th,% 9th-12th
Alabama,6.49,13.14,11.65,48.92,19.8
Alaska,8.07,5.76,20.75,27.67,37.75
Arizona,3.36,6.17,29.08,28.22,33.17
Arkansas,10.87,5.05,27.86,27.18,29.03
California,14.43,5.44,24.96,27.4,27.78
Colorado,13.8,6.58,31.1,29.49,19.02
Delaware,0.0,0.0,43.04,27.85,29.11
District of Columbia,15.51,8.65,25.59,22.53,27.72
Florida,9.21,4.18,27.22,31.86,27.53
Georgia,3.79,12.31,25.57,32.39,25.95
Idaho,5.42,4.3,33.93,30.37,25.98
Indiana,7.42,10.68,23.74,26.22,31.93
Iowa,12.28,7.63,31.98,18.63,29.47
Kansas,10.39,7.2,19.11,33.38,29.92
Kentucky,6.39,7.91,30.54,32.7,22.46
Louisiana,4.75,0.0,28.0,43.75,23.5
Maine,10.57,2.03,3.25,48.51,35.64
Maryland,11.43,10.98,35.73,18.81,23.04
Minnesota,9.01,4.8,26.22,27.09,32.88
Mississippi,7.59,9.53,18.26,38.13,26.49
Missouri,8.77,12.53,33.65,24.05,21.0
Montana,0.0,11.2,28.09,32.02,28.68
Nebraska,2.42,12.69,24.17,24.17,36.56
Nevada,4.48,9.98,17.72,26.88,40.94
New Mexico,10.02,7.07,39.69,11.0,32.22
New York,11.3,5.76,28.69,30.62,23.62
North Carolina,0.0,5.03,28.05,35.2,31.72
North Dakota,6.95,6.46,23.59,36.35,26.66
Oklahoma,6.3,10.36,30.43,27.97,24.93
Oregon,0.0,0.0,57.91,21.94,20.14
South Carolina,5.97,8.87,23.7,35.12,26.34
South Dakota,9.9,11.35,26.65,28.9,23.19
Tennessee,6.65,6.85,30.4,29.75,26.36
Texas,8.83,5.82,27.12,30.46,27.77
Utah,6.1,5.48,34.4,32.63,21.39
Vermont,0.0,0.0,17.45,53.69,28.86
Virginia,6.36,7.31,13.94,31.39,41.0
Washington,6.35,3.62,24.11,39.37,26.54
West Virginia,12.44,6.68,30.65,37.97,12.26
Wisconsin,8.56,9.64,28.78,27.78,25.24
Wyoming,5.94,2.43,35.82,23.85,31.97
