State,% Unemployment
Alabama,5.05
Alaska,4.33
Arizona,4.15
Arkansas,4.27
California,3.33
Colorado,3.38
Delaware,4.61
Florida,4.01
Georgia,5.71
Idaho,4.68
Indiana,5.89
Iowa,2.76
Kansas,1.86
Kentucky,3.53
Louisiana,4.0
Maine,3.72
Maryland,1.97
Minnesota,1.92
Mississippi,2.8
Missouri,1.93
Montana,4.42
Nebraska,2.06
Nevada,7.44
New Mexico,2.71
New York,3.22
North Carolina,5.2
North Dakota,2.86
Oklahoma,4.85
Oregon,1.64
South Carolina,4.1
South Dakota,2.26
Tennessee,5.66
Texas,2.26
Utah,4.61
Vermont,2.16
Virginia,1.91
Washington,2.25
West Virginia,7.2
Wisconsin,3.53
Wyoming,5.77
