State,% Black,% Asian,% Native Hawaiian/Pacific Islander,% White,% Hispanic/Latino,% American Indian/Alaskan Native,% Two or More,% Other
Alabama,4.61,0.22,0.0,93.63,0.0,0.0,1.54,0.0
Alaska,0.21,2.51,0.0,68.38,1.42,17.31,10.12,0.04
Arizona,7.77,1.19,0.25,47.83,31.71,2.1,2.4,6.75
Arkansas,2.06,0.45,0.0,89.19,5.62,1.16,1.51,0.0
California,1.2,25.0,0.0,63.37,4.01,0.0,6.24,0.18
Colorado,0.15,2.16,0.11,80.68,11.31,0.14,2.59,2.86
Delaware,1.05,2.79,0.0,90.1,3.95,0.79,0.84,0.47
Florida,5.6,6.69,0.0,66.98,17.9,0.43,1.53,0.87
Georgia,21.95,0.22,0.27,75.97,0.67,0.0,0.25,0.67
Idaho,0.0,1.03,0.0,64.8,29.45,0.22,2.27,2.23
Indiana,4.97,2.05,0.0,77.09,9.66,0.36,1.32,4.55
Iowa,1.1,2.75,0.0,92.23,1.61,0.0,1.19,1.11
Kansas,0.28,0.73,0.0,96.52,0.9,0.13,0.75,0.7
Kentucky,2.15,0.58,0.0,95.22,0.67,0.01,1.37,0.0
Louisiana,8.76,0.0,0.2,86.62,3.98,0.03,0.41,0.0
Maine,0.92,2.09,0.0,95.03,0.74,0.05,1.07,0.1
Maryland,2.32,1.97,0.0,92.16,1.53,0.0,2.03,0.0
Minnesota,1.53,8.85,0.02,84.23,2.7,0.02,2.39,0.26
Mississippi,22.13,0.97,0.0,75.28,0.67,0.0,0.77,0.17
Missouri,0.67,0.0,0.0,94.37,2.62,0.46,1.59,0.29
Montana,0.0,1.51,0.0,70.25,7.1,14.55,5.12,1.46
Nebraska,0.46,0.0,0.0,87.52,9.49,0.0,1.21,1.32
Nevada,1.89,0.14,0.59,56.18,18.72,12.13,1.49,8.87
New Mexico,0.0,0.0,0.0,45.06,38.25,5.49,9.33,1.87
New York,0.65,5.2,0.0,83.79,6.38,0.27,1.94,1.76
North Carolina,2.44,3.74,0.0,89.64,4.18,0.0,0.0,0.0
North Dakota,0.12,0.73,0.0,19.0,8.18,67.3,3.12,1.54
Oklahoma,3.09,1.16,0.0,72.18,4.75,10.06,8.76,0.0
Oregon,1.63,1.25,0.0,90.53,3.2,3.39,0.0,0.0
South Carolina,5.11,1.77,0.0,88.01,3.7,0.22,0.46,0.73
South Dakota,1.26,0.0,0.0,95.76,1.48,0.67,0.13,0.7
Tennessee,8.26,3.03,0.0,78.73,5.12,0.4,3.53,0.92
Texas,0.89,4.22,0.03,87.5,5.4,0.14,1.26,0.56
Utah,0.39,0.15,0.0,83.92,11.51,0.14,1.95,1.95
Vermont,7.94,1.59,0.0,89.21,0.0,0.0,1.27,0.0
Virginia,4.77,0.15,0.0,86.5,4.86,2.24,1.49,0.0
Washington,1.76,0.71,0.0,72.92,15.52,0.12,3.23,5.74
West Virginia,12.74,2.57,0.0,71.71,9.42,0.0,3.43,0.12
Wisconsin,1.47,7.62,0.16,86.81,0.98,0.0,2.86,0.1
Wyoming,0.0,0.25,0.0,76.31,16.17,0.37,3.72,3.19
