State,% Unemployment
Alabama,34.26
Alaska,42.15
Arizona,46.03
Arkansas,37.04
California,43.65
Colorado,23.08
Delaware,50.62
Florida,30.27
Georgia,54.34
Idaho,48.54
Indiana,33.02
Iowa,30.3
Kansas,30.76
Kentucky,29.57
Louisiana,56.37
Maine,39.75
Maryland,30.22
Minnesota,32.48
Mississippi,56.34
Missouri,31.48
Montana,25.18
Nebraska,34.34
Nevada,51.05
New Mexico,45.79
New York,41.19
North Carolina,47.62
North Dakota,37.09
Oklahoma,39.18
Oregon,45.38
South Carolina,30.83
South Dakota,11.6
Tennessee,38.43
Texas,38.35
Utah,31.15
Vermont,13.17
Virginia,45.31
Washington,34.31
West Virginia,37.66
Wisconsin,32.31
Wyoming,35.62
