State,City,Population,None,High School,Associates,Bachelors,Graduate
 Alabama,Movico,170.0,26.0,92.0,9.0,0.0,17.0
 Alabama,Pell City,13312.0,1220.0,3089.0,3126.0,938.0,642.0
 Alabama,Pelham,22346.0,1182.0,3144.0,5295.0,3740.0,1861.0
 Alabama,Parrish,1086.0,171.0,270.0,219.0,22.0,9.0
 Alabama,Panola,32.0,13.0,8.0,0.0,0.0,0.0
 Alabama,Paint Rock,208.0,31.0,63.0,33.0,10.0,1.0
 Alabama,Ozark,14786.0,1847.0,3329.0,3661.0,1078.0,640.0
 Alabama,Oxford,21243.0,2365.0,4582.0,4746.0,1758.0,847.0
 Alabama,Owens Cross Roads,1667.0,161.0,351.0,363.0,272.0,62.0
 Alabama,Our Town,490.0,105.0,207.0,102.0,61.0,15.0
 Alabama,Orrville,110.0,26.0,42.0,15.0,5.0,3.0
 Alabama,Orange Beach,5682.0,341.0,1103.0,1594.0,1021.0,564.0
 Alabama,Pennington,218.0,47.0,49.0,49.0,5.0,6.0
 Alabama,Opp,6665.0,1003.0,1390.0,1521.0,381.0,152.0
 Alabama,Onycha,197.0,47.0,37.0,22.0,9.0,4.0
 Alabama,Oneonta,6633.0,1235.0,1351.0,1506.0,364.0,283.0
 Alabama,Ohatchee,962.0,132.0,285.0,233.0,40.0,42.0
 Alabama,Odenville,3663.0,597.0,847.0,748.0,170.0,164.0
 Alabama,Oakman,659.0,134.0,172.0,129.0,27.0,20.0
 Alabama,Oak Hill,11.0,8.0,0.0,2.0,0.0,1.0
 Alabama,Oak Grove,564.0,110.0,155.0,108.0,18.0,17.0
 Alabama,Notasulga,974.0,117.0,193.0,191.0,64.0,42.0
 Alabama,Northport,24339.0,1607.0,4521.0,4467.0,3640.0,2178.0
 Alabama,North Johns,179.0,32.0,55.0,38.0,2.0,4.0
 Alabama,North Courtland,710.0,145.0,234.0,105.0,12.0,9.0
 Alabama,Opelika,28544.0,3139.0,5625.0,5467.0,2974.0,2069.0
 Alabama,Newville,509.0,99.0,181.0,62.0,18.0,6.0
 Alabama,Penton,236.0,104.0,65.0,30.0,14.0,0.0
 Alabama,Boykin,67.0,31.0,11.0,10.0,15.0,0.0
 Alabama,Phil Campbell,1149.0,155.0,324.0,161.0,61.0,20.0
 Alabama,Phenix City,36639.0,3449.0,6512.0,8021.0,2829.0,1862.0
 Alabama,Petrey,42.0,5.0,29.0,3.0,0.0,0.0
 Alabama,Peterman,120.0,3.0,86.0,6.0,6.0,6.0
 Alabama,Perdido Beach,599.0,71.0,125.0,168.0,92.0,61.0
 Alabama,Perdido,554.0,89.0,154.0,118.0,53.0,0.0
 Alabama,Camden,2721.0,284.0,655.0,424.0,190.0,100.0
 Alabama,Calvert,394.0,166.0,49.0,0.0,0.0,0.0
 Alabama,Calera,12593.0,910.0,1871.0,2532.0,2131.0,935.0
 Alabama,Butler,2360.0,338.0,521.0,597.0,186.0,66.0
 Alabama,Bucks,50.0,0.0,0.0,50.0,0.0,0.0
 Alabama,Bon Secour,648.0,128.0,326.0,135.0,21.0,0.0
 Alabama,Brundidge,2189.0,327.0,599.0,327.0,134.0,46.0
 Alabama,Brookwood,1932.0,197.0,468.0,333.0,114.0,56.0
 Alabama,Brookside,1258.0,202.0,353.0,293.0,81.0,20.0
 Alabama,Brook Highland,7032.0,182.0,571.0,1437.0,1725.0,923.0
 Alabama,Bristow Cove,531.0,118.0,100.0,105.0,0.0,15.0
 Alabama,Brilliant,908.0,153.0,251.0,179.0,28.0,23.0
 Alabama,Brighton,2904.0,429.0,729.0,698.0,79.0,73.0
 Alabama,Bridgeport,2300.0,388.0,628.0,395.0,67.0,66.0
 Alabama,Brewton,5424.0,597.0,1483.0,989.0,456.0,327.0
 Alabama,Brent,4898.0,956.0,1559.0,986.0,98.0,53.0
 Alabama,Brantleyville,1111.0,99.0,264.0,222.0,61.0,19.0
 Alabama,Brantley,971.0,150.0,211.0,109.0,86.0,46.0
 Alabama,Broomtown,160.0,51.0,55.0,26.0,19.0,0.0
 Alabama,New Union,1088.0,88.0,159.0,264.0,11.0,27.0
 Alabama,Newton,1709.0,218.0,425.0,466.0,78.0,47.0
 Alabama,New Site,767.0,103.0,250.0,133.0,66.0,22.0
 Alabama,Bessemer,27043.0,3376.0,6485.0,6056.0,1685.0,614.0
 Alabama,Berry,1392.0,338.0,354.0,215.0,54.0,15.0
 Alabama,Benton,49.0,0.0,6.0,17.0,7.0,5.0
 Alabama,Belle Fontaine,539.0,23.0,101.0,103.0,57.0,0.0
 Alabama,Bellamy,816.0,84.0,301.0,173.0,66.0,0.0
 Alabama,Belk,289.0,63.0,61.0,34.0,13.0,3.0
 Alabama,Belgreen,66.0,7.0,21.0,21.0,5.0,0.0
 Alabama,Beaverton,273.0,24.0,128.0,30.0,10.0,6.0
