State,City,Population,Never Married,Married,Divorced,Separated,Widowed
 Alabama,Movico,170.0,0.0,89.0,30.0,25.0,0.0
 Alabama,Pell City,13312.0,2355.0,5049.0,1894.0,261.0,836.0
 Alabama,Pelham,22346.0,4820.0,9805.0,2426.0,252.0,785.0
 Alabama,Parrish,1086.0,187.0,461.0,128.0,9.0,67.0
 Alabama,Panola,32.0,11.0,15.0,0.0,0.0,6.0
 Alabama,Paint Rock,208.0,32.0,68.0,44.0,0.0,16.0
 Alabama,Ozark,14786.0,3184.0,5228.0,2041.0,320.0,1329.0
 Alabama,Oxford,21243.0,4306.0,9159.0,2150.0,306.0,1137.0
 Alabama,Owens Cross Roads,1667.0,348.0,771.0,119.0,17.0,134.0
 Alabama,Our Town,490.0,43.0,196.0,204.0,0.0,47.0
 Alabama,Orrville,110.0,56.0,23.0,10.0,0.0,13.0
 Alabama,Orange Beach,5682.0,942.0,3155.0,444.0,94.0,334.0
 Alabama,Pennington,218.0,75.0,58.0,33.0,6.0,19.0
 Alabama,Opp,6665.0,1398.0,2695.0,711.0,98.0,494.0
 Alabama,Onycha,197.0,24.0,82.0,30.0,6.0,7.0
 Alabama,Oneonta,6633.0,1034.0,2796.0,648.0,138.0,746.0
 Alabama,Ohatchee,962.0,92.0,538.0,109.0,3.0,63.0
 Alabama,Odenville,3663.0,539.0,1601.0,232.0,218.0,333.0
 Alabama,Oakman,659.0,136.0,253.0,92.0,10.0,87.0
 Alabama,Oak Hill,11.0,0.0,0.0,2.0,0.0,9.0
 Alabama,Oak Grove,564.0,86.0,230.0,79.0,4.0,65.0
 Alabama,Notasulga,974.0,308.0,336.0,73.0,0.0,92.0
 Alabama,Northport,24339.0,6132.0,9365.0,2264.0,256.0,1539.0
 Alabama,North Johns,179.0,37.0,73.0,22.0,2.0,5.0
 Alabama,North Courtland,710.0,261.0,144.0,76.0,29.0,85.0
 Alabama,Opelika,28544.0,7813.0,10349.0,3049.0,503.0,1630.0
 Alabama,Newville,509.0,133.0,200.0,43.0,19.0,40.0
 Alabama,Penton,236.0,9.0,125.0,20.0,0.0,68.0
 Alabama,Boykin,67.0,36.0,0.0,20.0,5.0,6.0
 Alabama,Phil Campbell,1149.0,187.0,369.0,160.0,14.0,91.0
 Alabama,Phenix City,36639.0,10072.0,11313.0,3648.0,1218.0,2079.0
 Alabama,Petrey,42.0,14.0,16.0,3.0,0.0,4.0
 Alabama,Peterman,120.0,16.0,79.0,0.0,14.0,11.0
 Alabama,Perdido Beach,599.0,98.0,296.0,107.0,12.0,50.0
 Alabama,Perdido,554.0,117.0,251.0,81.0,0.0,14.0
 Alabama,Camden,2721.0,748.0,777.0,266.0,35.0,185.0
 Alabama,Calvert,394.0,78.0,0.0,81.0,0.0,94.0
 Alabama,Calera,12593.0,2162.0,6048.0,918.0,69.0,343.0
 Alabama,Butler,2360.0,594.0,797.0,223.0,84.0,243.0
 Alabama,Bucks,50.0,0.0,50.0,0.0,0.0,0.0
 Alabama,Bon Secour,648.0,40.0,324.0,207.0,0.0,39.0
 Alabama,Brundidge,2189.0,785.0,581.0,230.0,82.0,157.0
 Alabama,Brookwood,1932.0,361.0,888.0,180.0,31.0,58.0
 Alabama,Brookside,1258.0,270.0,459.0,137.0,22.0,137.0
 Alabama,Brook Highland,7032.0,2215.0,2565.0,742.0,162.0,178.0
