State,City,Population,Black,American Indian/Alaskan Native,Asian,Native Hawaiian / Pacific Islander,Hispanic/Latino,White,Other,Two or More
 Alabama,Movico,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Alabama,Pell City,13312.0,2300.0,0.0,285.0,0.0,50.0,10630.0,25.0,69.0
 Alabama,Pelham,22346.0,2092.0,89.0,341.0,0.0,2296.0,17372.0,1532.0,150.0
 Alabama,Parrish,1086.0,183.0,0.0,0.0,0.0,23.0,842.0,0.0,38.0
 Alabama,Panola,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Alabama,Paint Rock,208.0,2.0,1.0,0.0,0.0,0.0,203.0,0.0,2.0
 Alabama,Ozark,14786.0,4589.0,88.0,40.0,0.0,499.0,9065.0,100.0,502.0
 Alabama,Oxford,21243.0,2611.0,42.0,304.0,0.0,1603.0,16228.0,495.0,556.0
 Alabama,Owens Cross Roads,1667.0,89.0,4.0,10.0,0.0,79.0,1443.0,7.0,42.0
 Alabama,Our Town,490.0,0.0,23.0,0.0,0.0,0.0,467.0,0.0,0.0
 Alabama,Orrville,110.0,87.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0
 Alabama,Orange Beach,5682.0,24.0,13.0,0.0,0.0,364.0,5155.0,0.0,188.0
 Alabama,Pennington,218.0,153.0,2.0,0.0,0.0,0.0,63.0,0.0,0.0
 Alabama,Opp,6665.0,1113.0,43.0,15.0,0.0,31.0,5399.0,0.0,74.0
 Alabama,Onycha,197.0,0.0,0.0,2.0,0.0,2.0,193.0,0.0,0.0
 Alabama,Oneonta,6633.0,640.0,127.0,6.0,0.0,1530.0,4197.0,149.0,294.0
 Alabama,Ohatchee,962.0,18.0,4.0,0.0,0.0,6.0,934.0,0.0,0.0
 Alabama,Odenville,3663.0,282.0,0.0,7.0,0.0,21.0,3296.0,0.0,78.0
 Alabama,Oakman,659.0,96.0,0.0,5.0,0.0,0.0,546.0,0.0,12.0
 Alabama,Oak Hill,11.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
 Alabama,Oak Grove,564.0,15.0,0.0,0.0,0.0,0.0,549.0,0.0,0.0
 Alabama,Notasulga,974.0,334.0,0.0,0.0,0.0,4.0,624.0,0.0,12.0
 Alabama,Northport,24339.0,6347.0,80.0,271.0,0.0,371.0,17155.0,26.0,115.0
 Alabama,North Johns,179.0,73.0,6.0,0.0,0.0,0.0,99.0,0.0,1.0
 Alabama,North Courtland,710.0,682.0,0.0,0.0,0.0,11.0,26.0,0.0,2.0
 Alabama,Opelika,28544.0,11084.0,12.0,332.0,0.0,1589.0,14956.0,1354.0,501.0
 Alabama,Newville,509.0,171.0,0.0,0.0,0.0,85.0,250.0,13.0,3.0
 Alabama,Penton,236.0,73.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0
 Alabama,Boykin,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Alabama,Phil Campbell,1149.0,0.0,7.0,0.0,0.0,73.0,1060.0,40.0,9.0
 Alabama,Phenix City,36639.0,16440.0,27.0,426.0,48.0,2186.0,16631.0,276.0,1286.0
 Alabama,Petrey,42.0,14.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0
 Alabama,Peterman,120.0,3.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0
 Alabama,Perdido Beach,599.0,0.0,10.0,0.0,0.0,34.0,545.0,0.0,10.0
 Alabama,Perdido,554.0,80.0,0.0,0.0,0.0,11.0,449.0,11.0,14.0
 Alabama,Camden,2721.0,1563.0,0.0,0.0,0.0,5.0,1153.0,5.0,0.0
 Alabama,Calvert,394.0,0.0,0.0,0.0,0.0,0.0,394.0,0.0,0.0
 Alabama,Calera,12593.0,3456.0,30.0,51.0,0.0,599.0,8207.0,191.0,260.0
 Alabama,Butler,2360.0,872.0,0.0,0.0,0.0,38.0,1488.0,0.0,0.0
 Alabama,Bucks,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
 Alabama,Bon Secour,648.0,0.0,0.0,0.0,0.0,0.0,648.0,0.0,0.0
