State,City,Population,Unemployment Count
 Alabama,Movico,170.0,84.0
 Alabama,Pell City,13312.0,4405.0
 Alabama,Pelham,22346.0,4561.0
 Alabama,Parrish,1086.0,402.0
 Alabama,Panola,32.0,0.0
 Alabama,Paint Rock,208.0,88.0
 Alabama,Ozark,14786.0,5657.0
 Alabama,Oxford,21243.0,6002.0
 Alabama,Owens Cross Roads,1667.0,543.0
 Alabama,Our Town,490.0,296.0
 Alabama,Orrville,110.0,73.0
 Alabama,Orange Beach,5682.0,2104.0
 Alabama,Pennington,218.0,121.0
 Alabama,Opp,6665.0,2711.0
 Alabama,Onycha,197.0,57.0
 Alabama,Oneonta,6633.0,2642.0
 Alabama,Ohatchee,962.0,327.0
 Alabama,Odenville,3663.0,1255.0
 Alabama,Oakman,659.0,234.0
 Alabama,Oak Hill,11.0,10.0
 Alabama,Oak Grove,564.0,199.0
 Alabama,Notasulga,974.0,289.0
 Alabama,Northport,24339.0,7081.0
 Alabama,North Johns,179.0,57.0
 Alabama,North Courtland,710.0,346.0
 Alabama,Opelika,28544.0,9085.0
 Alabama,Newville,509.0,183.0
 Alabama,Penton,236.0,99.0
 Alabama,Boykin,67.0,67.0
 Alabama,Phil Campbell,1149.0,497.0
 Alabama,Phenix City,36639.0,10231.0
 Alabama,Petrey,42.0,16.0
 Alabama,Peterman,120.0,80.0
 Alabama,Perdido Beach,599.0,261.0
 Alabama,Perdido,554.0,166.0
 Alabama,Camden,2721.0,973.0
 Alabama,Calvert,394.0,164.0
 Alabama,Calera,12593.0,2678.0
 Alabama,Butler,2360.0,1026.0
 Alabama,Bucks,50.0,25.0
 Alabama,Bon Secour,648.0,492.0
 Alabama,Brundidge,2189.0,922.0
 Alabama,Brookwood,1932.0,550.0
 Alabama,Brookside,1258.0,481.0
 Alabama,Brook Highland,7032.0,1317.0
 Alabama,Bristow Cove,531.0,177.0
 Alabama,Brilliant,908.0,451.0
 Alabama,Brighton,2904.0,1035.0
 Alabama,Bridgeport,2300.0,947.0
 Alabama,Brewton,5424.0,2171.0
 Alabama,Brent,4898.0,2617.0
 Alabama,Brantleyville,1111.0,221.0
 Alabama,Brantley,971.0,336.0
 Alabama,Broomtown,160.0,91.0
 Alabama,New Union,1088.0,273.0
 Alabama,Newton,1709.0,580.0
 Alabama,New Site,767.0,300.0
 Alabama,Bessemer,27043.0,10518.0
 Alabama,Berry,1392.0,676.0
 Alabama,Benton,49.0,19.0
 Alabama,Belle Fontaine,539.0,55.0
 Alabama,Bellamy,816.0,339.0
 Alabama,Belk,289.0,122.0
 Alabama,Belgreen,66.0,29.0
 Alabama,Beaverton,273.0,106.0
 Alabama,Beatrice,294.0,122.0
 Alabama,Bear Creek,1296.0,470.0
 Alabama,Bayou La Batre,2634.0,817.0
 Alabama,Billingsley,176.0,77.0
 Alabama,Bay Minette,8843.0,3191.0
 Alabama,Ballplay,1535.0,563.0
 Alabama,Bakerhill,209.0,90.0
 Alabama,Baileyton,909.0,319.0
 Alabama,Babbie,687.0,241.0
 Alabama,Axis,911.0,316.0
 Alabama,Avon,594.0,174.0
 Alabama,Autaugaville,1119.0,369.0
 Alabama,Auburn,58693.0,20331.0
 Alabama,Attalla,5965.0,2140.0
 Alabama,Atmore,10072.0,5221.0
 Alabama,Athens,23938.0,7815.0
 Alabama,Banks,136.0,30.0
 Alabama,Birmingham,212211.0,70578.0
 Alabama,Black,157.0,38.0
 Alabama,Blountsville,1967.0,764.0
 Alabama,New Market,1410.0,237.0
 Alabama,New Hope,2803.0,780.0
 Alabama,New Brockton,1346.0,463.0
 Alabama,Newbern,160.0,69.0
 Alabama,Needham,108.0,50.0
 Alabama,Nectar,281.0,97.0
 Alabama,Nauvoo,171.0,66.0
 Alabama,Natural Bridge,43.0,13.0
 Alabama,Napier Field,414.0,108.0
 Alabama,Nances Creek,292.0,74.0
 Alabama,Nanafalia,64.0,21.0
 Alabama,Myrtlewood,157.0,79.0
 Alabama,Muscle Shoals,13492.0,4572.0
 Alabama,Munford,1443.0,399.0
 Alabama,Mulga,922.0,349.0
 Alabama,Eufaula,12809.0,4308.0
 Alabama,Mount Vernon,1482.0,711.0
 Alabama,Mount Olive CDP (Jefferson County),4100.0,1078.0
 Alabama,Mount Olive CDP (Coosa County),300.0,19.0
 Alabama,Mountain Brook,20518.0,5759.0
 Alabama,Bon Air,103.0,37.0
 Alabama,Boligee,640.0,166.0
 Alabama,Boaz,9673.0,2939.0
