State,Violent Crime Rate,Median Income
Alabama,2.721240922,16810.0
Alaska,2.633171913,27756.0
Arizona,2.325581395,18516.0
Arkansas,2.063140404,16574.0
Connecticut,1.140879786,18205.0
Florida,3.155577299,12258.0
Idaho,0.539291217,19231.0
Illinois,3.811036125,16303.0
Indiana,1.473839352,20759.0
Iowa,1.0121836929999999,19870.0
Kansas,0.9848033979999999,26213.0
Kentucky,0.943396226,19701.0
Maryland,1.535930669,25071.0
Minnesota,1.221166893,18025.0
Mississippi,1.4573396930000002,19317.0
Missouri,7.023411371,12750.0
Nebraska,0.6034482760000001,32405.0
New Hampshire,0.720720721,27083.0
New York,1.466680837,20210.0
North Carolina,1.664673963,17851.0
North Dakota,0.553963706,35718.0
Ohio,1.1289491759999999,20243.0
Oklahoma,1.4676372219999998,22610.0
Oregon,0.673400673,23895.0
Pennsylvania,2.645601571,20030.0
Rhode Island,0.776196636,16240.0
South Carolina,2.225519288,18776.0
South Dakota,1.128880527,22097.0
Tennessee,2.231349911,15848.0
Washington,0.96453018,32068.0
West Virginia,1.365466534,20776.0
Wisconsin,1.596102598,21396.0
