State,Violent Crime Rate,Population
Alabama,2.721240922,22626.0
Alaska,2.633171913,3283.0
Arizona,2.325581395,3639.0
Arkansas,2.063140404,7424.0
California,33.00970874,433.0
Connecticut,1.140879786,124795.0
Delaware,4.054054054,250.0
Florida,3.155577299,12024.0
Georgia,2.589654939,14026.0
Idaho,0.539291217,1329.0
Illinois,3.811036125,2758.0
Indiana,1.473839352,52354.0
Iowa,1.0121836929999999,10705.0
Kansas,0.9848033979999999,387147.0
Kentucky,0.943396226,1196.0
Louisiana,2.601452629,49529.0
Maine,0.501156515,1574.0
Maryland,1.535930669,622454.0
Michigan,2.25729125,10014.0
Minnesota,1.221166893,847.0
Mississippi,1.4573396930000002,7572.0
Missouri,7.023411371,267.0
Montana,1.1328527290000001,1858.0
Nebraska,0.6034482760000001,6830.0
New Hampshire,0.720720721,761.0
New Jersey,5.633802817,85.0
New Mexico,3.150684932,725.0
New York,1.466680837,28495.0
North Carolina,1.664673963,21721.0
North Dakota,0.553963706,3728.0
Ohio,1.1289491759999999,282275.0
Oklahoma,1.4676372219999998,24955.0
Oregon,0.673400673,1402.0
Pennsylvania,2.645601571,10693.0
Rhode Island,0.776196636,19378.0
South Carolina,2.225519288,2244.0
South Dakota,1.128880527,954.0
Tennessee,2.231349911,9036.0
Texas,2.1363869419999997,11616.0
Utah,1.162790698,60.0
Vermont,0.49656784,6864.0
Virginia,0.808650106,32123.0
Washington,0.96453018,9477.0
West Virginia,1.365466534,17375.0
Wisconsin,1.596102598,599498.0
Wyoming,0.934903047,2836.0
