State,Violent Crime Rate,Population
Alabama,0.023730422401518743,4146.0
Alaska,0.04253509145044662,2387.0
Arizona,0.04536176003628941,57165.0
Arkansas,0.018730099269526127,5090.0
California,0.008651267410675664,11253.0
Colorado,0.008648274669203494,10186.0
Delaware,0.04945598417408506,1880.0
Florida,0.02393817112372615,27114.0
Georgia,0.022799817601459188,4422.0
Idaho,0.01879345987596316,5362.0
Illinois,0.004789272030651342,41591.0
Indiana,0.012414649286157669,16257.0
Iowa,0.009673986649898422,10316.0
Kansas,0.02506265664160401,3964.0
Kentucky,0.018339650324000492,16326.0
Louisiana,0.029559562518474733,3401.0
Maine,0.013885031935573451,7233.0
Maryland,0.020729684908789386,4814.0
Michigan,0.009530162965786714,10403.0
Minnesota,0.007554296506137865,25951.0
Mississippi,0.02469745616201531,4014.0
Missouri,0.02594370216629913,7577.0
Montana,0.04275331338178709,2289.0
Nebraska,0.0536480686695279,1716.0
Nevada,0.06609385327164573,3021.0
New Mexico,0.05555555555555555,2227.0
New York,0.006224324660774307,15944.0
North Carolina,0.02247696111485727,4471.0
North Dakota,0.03951007506914263,2306.0
Oklahoma,0.019054878048780487,5173.0
Oregon,0.03300330033003299,3070.0
South Carolina,0.010525207872855491,8609.0
South Dakota,0.0847816871555744,4427.0
Tennessee,0.006826637539679831,29310.0
Texas,0.012131505519835009,24101.0
Utah,0.017015484090522375,10054.0
Vermont,0.024154589371980683,630.0
Virginia,0.03317299718029524,5844.0
Washington,0.013324450366422384,7531.0
West Virginia,0.0343878954607978,5587.0
Wisconsin,0.005396945328943818,18255.0
Wyoming,0.018744142455482664,5416.0
