State,City,Violent Crime Rate
ALABAMA,Anniston,2.721240922
ALASKA,Kotzebue,2.633171913
ARIZONA,Willcox,2.325581395
ARKANSAS,Osceola,2.063140404
CALIFORNIA,Industry,33.00970874
COLORADO,Lakeside,12.5
CONNECTICUT,Hartford,1.140879786
DELAWARE,Dewey Beach,4.054054054
FLORIDA,Florida City,3.155577299
GEORGIA,College Park,2.589654939
IDAHO,Kamiah,0.539291217
ILLINOIS,Cairo,3.811036125
INDIANA,Elkhart,1.473839352
IOWA,Keokuk,1.012183693
KANSAS,Wichita,0.984803398
KENTUCKY,West Buechel,0.943396226
LOUISIANA,Monroe,2.601452629
MAINE,Mexico,0.501156515
MARYLAND,Baltimore,1.535930669
MASSACHUSETTS,Aquinnah,1.533742331
MICHIGAN,Benton Harbor,2.25729125
MINNESOTA,Hilltop,1.221166893
MISSISSIPPI,Holly Springs,1.457339693
MISSOURI,Kinloch,7.023411371
MONTANA,Ronan City,1.132852729
NEBRASKA,Sidney,0.603448276
NEVADA,Las Vegas Metropolitan Police Department,0.920727671
NEW HAMPSHIRE,Lincoln,0.720720721
NEW JERSEY,Teterboro,5.633802817
NEW MEXICO,Cuba,3.150684932
NEW YORK,Newburgh,1.466680837
NORTH CAROLINA,Lumberton,1.664673963
NORTH DAKOTA,Watford City,0.553963706
OHIO,Toledo,1.128949176
OKLAHOMA,Ardmore,1.467637222
OREGON,Hines,0.673400673
PENNSYLVANIA,Darby,2.645601571
RHODE ISLAND,Central Falls,0.776196636
SOUTH CAROLINA,Estill,2.225519288
SOUTH DAKOTA,Martin,1.128880527
TENNESSEE,Covington,2.231349911
TEXAS,Robstown,2.136386942
UTAH,Brian Head,1.162790698
VERMONT,St. Albans,0.49656784
VIRGINIA,Petersburg,0.808650106
WASHINGTON,Fife,0.96453018
WEST VIRGINIA,Beckley,1.365466534
WISCONSIN,Milwaukee,1.596102598
WYOMING,Evansville,0.934903047
