State,City,Violent Crime Rate
ALABAMA,Argo,0.023730422401518746
ALASKA,Wrangell,0.04253509145044662
ARIZONA,Buckeye,0.04536176003628941
ARKANSAS,Greenbrier,0.018730099269526127
CALIFORNIA,Hillsborough,0.008651267410675664
COLORADO,Frederick,0.008648274669203494
CONNECTICUT,Wilton,0.005304758368256326
DELAWARE,Ocean View,0.04945598417408506
DISTRICT OF COLUMBIA,Washington,1.2025681762735263
FLORIDA,Parkland,0.02393817112372615
GEORGIA,Summerville,0.022799817601459188
HAWAII,Honolulu,0.24386900121784397
IDAHO,Weiser,0.018793459875963165
ILLINOIS,Buffalo Grove,0.0047892720306513415
INDIANA,Dyer,0.012414649286157667
IOWA,Pella,0.009673986649898422
KANSAS,Fairway,0.02506265664160401
KENTUCKY,Fort Thomas,0.01833965032400049
LOUISIANA,Jena,0.02955956251847473
MAINE,Rockland,0.013885031935573453
MARYLAND,Manchester,0.020729684908789386
MASSACHUSETTS,Hanover,0.006905123601712471
MICHIGAN,Beverly Hills,0.009530162965786714
MINNESOTA,Shoreview,0.007554296506137866
MISSISSIPPI,Fulton,0.02469745616201531
MISSOURI,Carl Junction,0.02594370216629913
MONTANA,Colstrip,0.04275331338178709
NEBRASKA,Wilber,0.0536480686695279
NEVADA,Yerington,0.06609385327164573
NEW HAMPSHIRE,Fremont,0.02188662727073758
NEW JERSEY,Clark Township,0.0064077918749199025
NEW MEXICO,Moriarty,0.05555555555555555
NEW YORK,Rye,0.006224324660774307
NORTH CAROLINA,Valdese,0.02247696111485727
NORTH DAKOTA,New Town,0.03951007506914263
OHIO,Poland Township,0.008256274768824307
OKLAHOMA,Lone Grove,0.019054878048780487
OREGON,Bandon,0.033003300330033
PENNSYLVANIA,Upper Saucon Township,0.0061942517343904855
RHODE ISLAND,Narragansett,0.012774655084312725
SOUTH CAROLINA,Tega Cay,0.01052520787285549
SOUTH DAKOTA,Tea,0.0847816871555744
TENNESSEE,Oak Ridge,0.006826637539679831
TEXAS,University Park,0.01213150551983501
UTAH,Santaquin/Genola,0.017015484090522375
VERMONT,Richmond,0.024154589371980676
VIRGINIA,Bridgewater,0.03317299718029524
WASHINGTON,Selah,0.013324450366422385
WEST VIRGINIA,Charles Town,0.0343878954607978
WISCONSIN,Onalaska,0.005396945328943818
WYOMING,Worland,0.018744142455482664
